0.836;0.839;0.847;0.899;0.871;0.888;0.859;0.871;0.869;0.885;0.884
0.882;0.890;0.870;0.869;0.878;0.856;0.877;0.870;0.889;0.891;0.890
0.862;0.888;0.858;0.877;0.883;0.853;0.889;0.874;0.874;0.885;0.856
0.832;0.894;0.878;0.867;0.878;0.886;0.866;0.879;0.885;0.879;0.876
0.892;0.894;0.867;0.874;0.853;0.878;0.883;0.879;0.866;0.870;0.848
0.882;0.881;0.862;0.878;0.856;0.852;0.882;0.882;0.839;0.863;0.889
0.872;0.862;0.865;0.876;0.890;0.891;0.888;0.875;0.861;0.855;0.866
0.905;0.865;0.855;0.848;0.876;0.882;0.853;0.848;0.896;0.883;0.885
0.855;0.885;0.854;0.899;0.838;0.881;0.885;0.884;0.881;0.870;0.879
0.873;0.905;0.871;0.896;0.876;0.876;0.891;0.864;0.871;0.877;0.864
0.883;0.886;0.862;0.861;0.863;0.891;0.877;0.878;0.868;0.858;0.873
